FECHA_VENTA,DIA_COMERCIAL,CIUDAD,DEPARTAMENTO,TIPO,MARCA,VALOR_TOTAL
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,1064520.0
2021-06-02,0,CUCUTA,NORTE DE SANTANDER,TELEFONO,XIAOMI,795520.0
2021-06-02,0,BARRANCABERMEJA,SANTANDER,TELEFONO,XIAOMI,795520.0
2021-06-02,0,SAN GIL,SANTANDER,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,FLORENCIA,CAQUETA,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,LA DORADA,CALDAS,TELEFONO,XIAOMI,795520.0
2021-06-02,0,SOLEDAD,ATLANTICO,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,679520.0
2021-06-02,0,PEREIRA,RISARALDA,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,SUAN,ATLANTICO,TELEFONO,MOTOROLA,681520.0
2021-06-02,0,QUIBDO,CHOCO,TELEFONO,XIAOMI,795520.0
2021-06-03,0,LA DORADA,CALDAS,TELEFONO,MOTOROLA,681520.0
2021-06-02,0,SOGAMOSO,BOYACA,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,ISTMINA,CHOCO,TELEFONO,XIAOMI,393520.0
2021-06-04,0,TIBASOSA,BOYACA,TELEFONO,XIAOMI,679520.0
2021-06-03,0,VILLAVICENCIO,META,TELEFONO,MOTOROLA,676520.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,APPLE,3966581.0
2021-06-08,0,IBAGUE,TOLIMA,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,TURBO,ANTIOQUIA,TELEFONO,MOTOROLA,688520.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,MOTOROLA,768520.0
2021-06-03,0,CALI,VALLE DEL CAUCA,TELEFONO,XIAOMI,795520.0
2021-06-03,0,MALAMBO,ATLANTICO,TELEFONO,XIAOMI,795520.0
2021-06-02,0,CARTAGENA,BOLIVAR,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,MOTOROLA,636520.0
2021-06-03,0,MEDELLIN,ANTIOQUIA,TELEFONO,SAMSUNG,1150571.0
2021-06-03,0,MONTERIA,CORDOBA,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,SAN ONOFRE,SUCRE,TELEFONO,NOKIA,677520.0
2021-06-04,0,LA PLATA,HUILA,TELEFONO,SAMSUNG,679520.0
2021-06-03,0,LA DORADA,CALDAS,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,MONTERIA,CORDOBA,TELEFONO,XIAOMI,795520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,AGUAZUL,CASANARE,TELEFONO,XIAOMI,795520.0
2021-06-03,0,PUERTO WILCHES,SANTANDER,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-02,0,MEDELLIN,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,VALLEDUPAR,CESAR,TELEFONO,XIAOMI,958520.0
2021-06-02,0,SINCELEJO,SUCRE,TELEFONO,XIAOMI,578520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-03,0,CHIGORODO,ANTIOQUIA,TELEFONO,XIAOMI,1344520.0
2021-06-03,0,BUGA,VALLE DEL CAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,FLORENCIA,CAQUETA,TELEFONO,XIAOMI,795520.0
2021-06-05,1,SOGAMOSO,BOYACA,TELEFONO,MOTOROLA,688520.0
2021-06-08,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,MOTOROLA,792520.0
2021-06-08,0,CALI,VALLE DEL CAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,MEDELLIN,ANTIOQUIA,TELEFONO,XIAOMI,356520.0
2021-06-03,0,CALI,VALLE DEL CAUCA,TELEFONO,XIAOMI,1459520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,SANTA MARTA,MAGDALENA,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,BARRANCABERMEJA,SANTANDER,TELEFONO,SAMSUNG,1064520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,638520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,LA JAGUA DE IBIRICO,CESAR,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,TOCAIMA,CUNDINAMARCA,TELEFONO,XIAOMI,795520.0
2021-06-03,0,AGUACHICA,CESAR,TELEFONO,XIAOMI,433520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,1150571.0
2021-06-08,0,VILLAVICENCIO,META,TELEFONO,XIAOMI,795520.0
2021-06-03,0,CUCUTA,NORTE DE SANTANDER,TELEFONO,XIAOMI,795520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,NOKIA,574520.0
2021-06-03,0,FUNZA,CUNDINAMARCA,TELEFONO,SAMSUNG,597520.0
2021-06-03,0,BARANOA,ATLANTICO,TELEFONO,XIAOMI,795520.0
2021-06-03,0,SIBATE,CUNDINAMARCA,TELEFONO,XIAOMI,499520.0
2021-06-03,0,MONTELIBANO,CORDOBA,TELEFONO,XIAOMI,795520.0
2021-06-03,0,MEDELLIN,ANTIOQUIA,TELEFONO,SAMSUNG,1150571.0
2021-06-03,0,QUIBDO,CHOCO,TELEFONO,XIAOMI,795520.0
2021-06-04,0,SALADOBLANCO,HUILA,TELEFONO,SAMSUNG,383520.0
2021-06-03,0,FUNZA,CUNDINAMARCA,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,BARRANQUILLA,ATLANTICO,TELEFONO,XIAOMI,795520.0
2021-06-03,0,CIENAGA,MAGDALENA,TELEFONO,XIAOMI,1459520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,1938570.0
2021-06-03,0,ARAUCA,ARAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,AGUACHICA,CESAR,TELEFONO,XIAOMI,1459520.0
2021-06-03,0,CAREPA,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
