cod_trans,cod_rest,fecha_trans,valor_trans,latitud,longitud,canal,medio,comision
0000110260-074602,115,2023-03-23,24900,3.3842745,-76.515764,CallCenter,CallCenter,2490.0
23923205_tt,115,2023-03-23,55900,3.3782758,-76.5240251,TICTUK,TICTUK,6708.0
0001086038-010401,115,2023-03-23,11900,3.3812234,-76.528035,App,Android,1309.0
0001086111-010401,115,2023-03-23,39900,3.3673908,-76.5074492,App,Android,4389.0
0000110242-074602,115,2023-03-23,39900,3.3786672,-76.5182483,CallCenter,CallCenter,3990.0
0000110210-074602,115,2023-03-23,44800,3.3820005,-76.5300591,CallCenter,CallCenter,4480.0
0001085930-010401,115,2023-03-23,25900,3.3672938,-76.5058266,App,Android,2849.0
KFCCO560911590,115,2023-03-23,24900,3.386398,-76.514137,Web,Web,2490.0
0001086526-010401,115,2023-03-23,53400,3.3727677,-76.5235091,App,Android,5874.0
KFCCO100912143,115,2023-03-23,15900,3.389579,-76.529846,Web,Web,1590.0
0001086039-010401,115,2023-03-23,19900,3.382068634033203,-76.51096338774764,App,Ios,2189.0
KFCCO986834181,115,2023-03-23,27800,3.384022,-76.523529,Web,Web,2780.0
KFCCO696434487,115,2023-03-23,30500,3.368869,-76.519058,Web,Web,3050.0
0001086389-010401,115,2023-03-23,45400,3.3551215337697795,-76.51826513931155,App,Android,4994.0
KFCCO069787707,115,2023-03-23,24900,3.384335,-76.524414,Web,Web,2490.0
KFCCO098571130,115,2023-03-23,29900,3.383078,-76.529228,Web,Web,2990.0
23954004_tt,115,2023-03-24,39900,3.3724452,-76.5155699,TICTUK,TICTUK,4788.0
0000110354-074602,115,2023-03-24,24900,3.3738202,-76.5106373,CallCenter,CallCenter,2490.0
KFCCO545544039,115,2023-03-24,40800,3.366428,-76.515732,Web,Web,4080.0
0001086618-010401,115,2023-03-23,49700,3.3693055303443,-76.5101145865331,App,Ios,5467.0
23948856_tt,115,2023-03-23,35900,3.3863433,-76.5193978,TICTUK,TICTUK,4308.0
KFCCO961208006,115,2023-03-24,14900,3.391639,-76.536789,Web,Web,1490.0
0000110358-074602,115,2023-03-24,20900,3.3749768,-76.5144203,CallCenter,CallCenter,2090.0
0001087358-010401,115,2023-03-24,22900,3.3565278636457085,-76.51716174557805,App,Android,2519.0
0001087441-010401,115,2023-03-24,23900,3.364766,-76.5223698,App,Ios,2629.0
KFCCO717029894,115,2023-03-24,19900,3.393046,-76.534958,Web,Web,1990.0
0000110409-074602,115,2023-03-24,49600,3.3683389,-76.5163741,CallCenter,CallCenter,4960.0
0001087449-010401,115,2023-03-24,13800,3.4839025572282,-76.5278349258006,App,Android,1518.0
KFCCO339881337,115,2023-03-24,16900,3.383159,-76.515625,Web,Web,1690.0
KFCCO432570794,115,2023-03-24,13800,3.37637,-76.527954,Web,Web,1380.0
KFCCO353129339,115,2023-03-24,15800,3.373754,-76.510689,Web,Web,1580.0
0001087475-010401,115,2023-03-24,11900,3.3649107,-76.5214486,App,Android,1309.0
0000110656-074602,115,2023-03-24,29900,3.3733101,-76.5195581,CallCenter,CallCenter,2990.0
0001088527-010401,115,2023-03-24,29800,3.3547458,-76.5189125,App,Android,3278.0
0001088566-010401,115,2023-03-24,24900,3.3656847694728,-76.5226083990284,App,Ios,2739.0
KFCCO728907658,115,2023-03-25,49900,3.386732,-76.517853,Web,Web,4990.0
0000110499-074602,115,2023-03-24,65800,3.3786672,-76.5182483,CallCenter,CallCenter,6580.0
KFCCO481150836,115,2023-03-24,6900,3.37631,-76.528046,Web,Web,690.0
0001087833-010401,115,2023-03-24,36000,3.3805274124431577,-76.52364565059543,App,Android,3960.0
KFCCO795517239,115,2023-03-24,29900,3.375552,-76.52253,Web,Web,2990.0
0001087979-010401,115,2023-03-24,39900,3.3779743465014,-76.5235779248178,App,Android,4389.0
KFCCO481718730,115,2023-03-24,39900,3.370689,-76.506714,Web,Web,3990.0
0001088097-010401,115,2023-03-24,9800,3.3721426893411,-76.5188297780638,App,Ios,1078.0
0001088171-010401,115,2023-03-24,42900,3.374072923125,-76.52250353283,App,Ios,4719.0
23985734_tt,115,2023-03-24,39400,3.3566118,-76.51928889999999,TICTUK,TICTUK,4728.0
0001088064-010401,115,2023-03-24,41300,3.3826321098519,-76.5108784823536,App,Ios,4543.0
KFCCO826241801,115,2023-03-24,29900,3.375584,-76.521454,Web,Web,2990.0
KFCCO058620619,115,2023-03-24,44800,3.359912,-76.518738,Web,Web,4480.0
0000110685-074602,115,2023-03-25,20900,3.382515,-76.5374527,CallCenter,CallCenter,2090.0
0001088768-010401,115,2023-03-25,25400,3.3758751,-76.5224862,App,Android,2794.0
0000110678-074602,115,2023-03-25,49900,3.3785912,-76.5086978,CallCenter,CallCenter,4990.0
KFCCO465745057,115,2023-03-25,30800,3.372599,-76.51722,Web,Web,3080.0
KFCCO450919718,115,2023-03-25,8900,3.389579,-76.529846,Web,Web,890.0
0001088873-010401,115,2023-03-25,59900,3.380125045776367,-76.51515612898461,App,Ios,6589.0
0001088874-010401,115,2023-03-25,24900,3.3724599054552,-76.5155648253858,App,Android,2739.0
0001088671-010401,115,2023-03-25,61400,3.3650978437283,-76.5142066217959,App,Android,6754.0
0000110780-074602,115,2023-03-25,72900,3.3683389,-76.5163741,CallCenter,CallCenter,7290.0
24002798_tt,115,2023-03-25,24800,3.391689,-76.5176257,TICTUK,TICTUK,2976.0
KFCCO191549334,115,2023-03-25,23900,3.376604,-76.523712,Web,Web,2390.0
0000110736-074602,115,2023-03-25,20900,3.3870811,-76.5196823,CallCenter,CallCenter,2090.0
0001089053-010401,115,2023-03-25,56500,3.3827415,-76.5325578,App,Android,6215.0
0001089081-010401,115,2023-03-25,13800,3.3565636735625,-76.519294437021,App,Android,1518.0
0001089204-010401,115,2023-03-25,49900,3.3799037631774,-76.5282339043915,App,Android,5489.0
0001088948-010401,115,2023-03-25,24400,3.382728576660156,-76.51191444004427,App,Ios,2684.0
